GEOID,NAME,pop,asian,chinese,ch_pct,NEAR_DIST,LOCALE,STATEFP,LOC_NAME,taiwan,cmb_asian,cmb_chns,Shape_Length,Shape_Area
36061000800,Census Tract 8; New York County; New York,8889,7203,7033,79,0.1,11,36,Large City,0,7349,7133,0.030215771687530,0.000041699483793
17031841100,Census Tract 8411; Cook County; Illinois,7661,6441,6133,80,0.2,11,17,Large City,0,6564,6133,0.047689365829769,0.000125434292922
36061001600,Census Tract 16; New York County; New York,7040,4700,4326,61,0.0,11,36,Large City,0,4920,4458,0.020906146293022,0.000022388064977
36061000600,Census Tract 6; New York County; New York,10179,5023,4159,41,0.3,11,36,Large City,25,5122,4258,0.027749367614496,0.000043595072157
36081085900,Census Tract 859; Queens County; New York,5718,4488,4012,70,0.2,11,36,Large City,0,4687,4211,0.018747955400797,0.000015112186062
36081086300,Census Tract 863; Queens County; New York,6859,4849,3894,57,0.4,11,36,Large City,0,5316,4361,0.015866474849437,0.000015374757935
06037481712,Census Tract 4817.12; Los Angeles County; California,5182,4369,3385,65,0.4,21,06,Large Suburban,0,4482,3470,0.036779981782463,0.000070615725900
36081136700,Census Tract 1367; Queens County; New York,6523,4385,3350,51,0.3,11,36,Large City,0,4465,3430,0.037796820055896,0.000082390472835
06059052433,Census Tract 524.33; Orange County; California,16231,9859,3328,21,0.9,11,06,Large City,806,10705,3682,0.096146727206848,0.000328964487707
36081085300,Census Tract 853; Queens County; New York,4969,3782,3263,66,0.1,11,36,Large City,137,4100,3508,0.024966390809763,0.000020579137372
06085504311,Census Tract 5043.11; Santa Clara County; California,7944,6372,3260,41,1.0,11,06,Large City,426,6835,3428,0.063584805492243,0.000221789290389
06085507702,Census Tract 5077.02; Santa Clara County; California,6500,5024,3166,49,1.8,41,06,Fringe Rural,56,5195,3274,0.130672133715039,0.000798414405171
06059052421,Census Tract 524.21; Orange County; California,9672,6460,3159,33,0.8,11,06,Large City,256,6925,3406,0.073578952776036,0.000244890555228
36081083700,Census Tract 837; Queens County; New York,4770,3656,3151,66,0.2,11,36,Large City,68,3843,3338,0.043370135248736,0.000083745581312
36081088902,Census Tract 889.02; Queens County; New York,6117,3591,3119,51,0.3,11,36,Large City,22,3591,3119,0.024576438522015,0.000031012677780
06037481711,Census Tract 4817.11; Los Angeles County; California,4397,3837,3118,71,0.2,21,06,Large Suburban,16,3966,3244,0.026535872781061,0.000043710979907
36081085500,Census Tract 855; Queens County; New York,6143,4566,3115,51,0.2,11,36,Large City,50,4792,3267,0.015405085112169,0.000013936295872
36081087100,Census Tract 871; Queens County; New York,4889,3618,3108,64,0.0,11,36,Large City,83,3725,3108,0.037539675923738,0.000047180966335
06065040609,Census Tract 406.09; Riverside County; California,17579,5584,3107,18,3.4,41,06,Fringe Rural,166,6942,4079,0.358710108842721,0.002381258236685
36061002902,Census Tract 29.02; New York County; New York,3832,3204,3100,81,0.0,11,36,Large City,0,3317,3124,0.015651173419665,0.000013100948940
36047010200,Census Tract 102; Kings County; New York,4561,3119,3082,68,0.2,11,36,Large City,0,3119,3082,0.016819811454671,0.000016226598037
06075026100,Census Tract 261; San Francisco County; California,6601,4526,3079,47,0.3,11,06,Large City,0,4992,3364,0.037788151959279,0.000076575660300
06037403324,Census Tract 4033.24; Los Angeles County; California,5947,4649,3012,51,0.9,21,06,Large Suburban,134,4736,3035,0.139524491014043,0.000776361736303
36081088903,Census Tract 889.03; Queens County; New York,4659,3604,2987,64,0.2,11,36,Large City,44,3634,2987,0.033761781939616,0.000039395113548
06037430801,Census Tract 4308.01; Los Angeles County; California,7235,4295,2910,40,0.3,13,06,Small City,195,4630,3105,0.052517887274559,0.000167098841147
06037481401,Census Tract 4814.01; Los Angeles County; California,5433,3729,2896,53,0.3,21,06,Large Suburban,25,3954,3086,0.047585675450302,0.000117879091310
06075010701,Census Tract 107.01; San Francisco County; California,3280,3039,2888,88,0.0,11,06,Large City,0,3053,2902,0.015292010842823,0.000010028220459
06001433300,Census Tract 4333; Alameda County; California,7265,3870,2879,40,0.5,21,06,Large Suburban,0,4135,2988,0.080181529344195,0.000256734761642
36081104700,Census Tract 1047; Queens County; New York,7118,3786,2859,40,0.3,11,36,Large City,0,3797,2870,0.041640754380153,0.000090548207825
06059052430,Census Tract 524.30; Orange County; California,16914,7957,2796,17,4.7,41,06,Fringe Rural,538,9898,3599,0.328564409354338,0.004476770892756
06075035300,Census Tract 353; San Francisco County; California,6922,4110,2761,40,0.1,11,06,Large City,0,4357,2931,0.047852783697344,0.000114902229875
06037432102,Census Tract 4321.02; Los Angeles County; California,5479,4055,2756,50,0.3,21,06,Large Suburban,57,4584,3255,0.056646243389215,0.000183001544833
36081085700,Census Tract 857; Queens County; New York,5502,3562,2756,50,0.1,11,36,Large City,0,3630,2797,0.017883518275223,0.000014106467385
36081079702,Census Tract 797.02; Queens County; New York,3313,2986,2753,83,0.2,11,36,Large City,35,3037,2783,0.026420214518096,0.000030761694267
06085508708,Census Tract 5087.08; Santa Clara County; California,5781,4213,2734,47,0.6,12,06,Midsize City,40,4358,2793,0.095587349323406,0.000496730622206
36081079701,Census Tract 797.01; Queens County; New York,6306,5361,2699,43,0.2,11,36,Large City,42,5629,2832,0.016203955210067,0.000011858217509
06037482202,Census Tract 4822.02; Los Angeles County; California,5441,3521,2691,49,0.4,21,06,Large Suburban,32,3988,3158,0.031893073578445,0.000063138241592
06075025701,Census Tract 257.01; San Francisco County; California,5047,3383,2678,53,0.6,11,06,Large City,0,3503,2711,0.042724688301876,0.000063687249303
36081084902,Census Tract 849.02; Queens County; New York,3807,3106,2675,70,0.1,11,36,Large City,0,3240,2809,0.015048365079023,0.000010608955023
