name,locality,region,state,date_created,date_refreshed,date_closed,still_open,LOCALE,STATEFP,LOC_NAME
Lee's Chinese,Fort Bragg,CA,California,2010-09-12,2025-08-22,,1,33,06,Remote Town
China Express,Fort Bragg,CA,California,2012-02-21,2025-07-3,,1,33,06,Remote Town
Hill House Restaurant,Mendocino,CA,California,2012-05-21,2012-05-21,,1,42,06,Distant Rural
Panda Express,Ukiah,CA,California,2019-12-22,2025-07-3,,1,33,06,Remote Town
New Dragon,Ukiah,CA,California,2012-02-8,2025-07-3,,1,33,06,Remote Town
Anna's Bistro,Ukiah,CA,California,2012-04-26,2025-08-22,,1,33,06,Remote Town
China Chef,Ukiah,CA,California,2011-02-4,2025-07-11,,1,33,06,Remote Town
Willits Buffet,Willits,CA,California,2011-11-27,2025-05-28,2025-05-28,0,33,06,Remote Town
Anna's Asian House,Willits,CA,California,2010-05-9,2025-08-22,,1,33,06,Remote Town
Yum Yum Tree Restaurant,Willits,CA,California,2010-09-19,2025-07-12,2025-07-12,0,33,06,Remote Town
Anna's Asian Palace,Laytonville,CA,California,2012-10-14,2021-09-25,,1,43,06,Remote Rural
New Fortune Oriental Cuisine,Red Bluff,CA,California,2018-07-20,2025-04-23,2025-04-23,0,32,06,Distant Town
ABC Chinese Restaurant,Red Bluff,CA,California,2012-02-8,2012-02-8,,1,32,06,Distant Town
China Doll,Red Bluff,CA,California,2010-09-11,2025-08-22,,1,32,06,Distant Town
Maple Gardens,Red Bluff,CA,California,2010-05-26,2025-08-22,,1,32,06,Distant Town
Lucky Chinese,Red Bluff,CA,California,2010-11-6,2025-08-19,2025-06-6,0,32,06,Distant Town
Snack Line,Red Bluff,CA,California,2012-01-17,2012-08-30,,1,41,06,Fringe Rural
Peter Chu's,Chico,CA,California,2010-09-9,2025-05-3,2025-05-3,0,12,06,Midsize City
Ginger's Restaurant,Chico,CA,California,2010-08-23,2025-08-22,,1,12,06,Midsize City
House of Dumplings,Chico,CA,California,2016-05-24,2016-05-24,,1,12,06,Midsize City
Hula's Chinese Bar-B-Q,Chico,CA,California,2009-11-29,2025-08-19,2024-11-13,0,12,06,Midsize City
China Star Super Buffet,Chico,CA,California,2012-02-21,2012-02-21,,1,12,06,Midsize City
Kwando,Chico,CA,California,2013-05-30,2013-05-30,,1,32,06,Distant Town
Corning Chinese Restaurant,Corning,CA,California,2012-02-8,2025-08-19,2025-05-28,0,32,06,Distant Town
Uncle Chong Chinese Restaurant,Orland,CA,California,2014-11-10,2025-08-22,,1,32,06,Distant Town
Wong's Chinese Restaurant,Willows,CA,California,2010-08-23,2025-08-22,,1,32,06,Distant Town
Fu Hing,,,,2010-04-28,2018-03-31,,1,32,06,Distant Town
Flavor Falls,Chico,CA,California,2010-11-5,2012-02-20,,1,12,06,Midsize City
China House,Chico,CA,California,2018-04-22,2025-07-3,2025-05-28,0,12,06,Midsize City
Great Wall Chinese Restaurant,Chico,CA,California,2012-05-21,2012-05-21,,1,12,06,Midsize City
House of Dumplings,Chico,CA,California,2017-06-26,2025-03-24,,1,12,06,Midsize City
Windy's,Chico,CA,California,2011-08-3,2019-10-3,,1,12,06,Midsize City
Tony's Chinese,Chico,CA,California,2013-05-7,2018-05-5,2018-05-5,0,12,06,Midsize City
Red Tiger Chinese,Chico,CA,California,2010-08-9,2025-06-10,2025-06-10,0,12,06,Midsize City
Happy Garden,Chico,CA,California,2010-03-24,2025-07-11,,1,12,06,Midsize City
Turandot North China Gourmet Cuisine,Chico,CA,California,2012-02-8,2025-07-3,2018-05-4,0,12,06,Midsize City
Turandot,Chico,CA,California,2010-06-12,2025-05-8,2025-05-8,0,12,06,Midsize City
Chan Pheng's Mandarin Cuisine,Chico,CA,California,2011-08-18,2025-08-22,,1,12,06,Midsize City
Panda Express,Chico,CA,California,2010-06-7,2025-07-3,2012-04-4,0,12,06,Midsize City
Broadway Market And Deli,Chico,CA,California,2010-05-10,2025-08-19,2025-04-23,0,12,06,Midsize City
Peeking Chinese Restaurant,Chico,CA,California,2010-05-6,2025-06-6,2025-05-1,0,12,06,Midsize City
Kwando Buffet,Chico,CA,California,2010-02-21,2025-08-19,,1,12,06,Midsize City
Wok In,Chico,CA,California,2011-08-18,2025-07-3,,1,12,06,Midsize City
Rice Wok,,,,2012-03-10,2013-05-24,,1,12,06,Midsize City
