category,count
Appetizers,13384
Picked for you,10754
Chicken,8378
Seafood,8273
Beef,8122
Drinks,7689
Fried Rice,5387
A La Carte,5088
Pork,4495
Soup,4469
Poultry,3277
Beverages,3077
Vegetables,2631
Soups,2444
Lo Mein,2402
Egg Foo Young,2359
Chef's Specialties,2316
Shrimp,1745
Appetizer,1717
Vegetable,1685
Mains,1553
Noodles,1502
Chow Mein,1465
Catering,1398
Side Order,1392
Chef's Special,1373
Combination Platters,1170
Sides,1162
Side Orders,1082
Cub Meal,952
Entrees,921
Combination Plates,874
Desserts,859
Chop Suey,857
Teriyaki,775
House Specialties,659
ENTRÉES,642
Vegetarian,635
Main Entrees ,627
Bowls,623
Dim Sum,584
Rice,582
Sweet and Sour,565
Special Combination Plates,562
Chef's Specials,560
Chef Specialties,537
Mei Fun,535
Moo Shu,531
Beverage,514
SHAREABLES,512
Sushi,506
Dessert,498
Gluten Free,475
GLUTEN FREE,473
Lunch Special,471
Rice and Noodles,471
Noodle Soup,471
House Special,451
Lunch Specials,422
Combination,415
Noodle,404
Requests,394
Combination Platter,384
Bowl,380
House Specials,379
Dinner Combination,364
Sushi Rolls,347
Extras,347
Family Meal,341
Chow Mei Fun,340
Starters,333
Dumplings,332
Bigger Plate,332
Plate,330
Seafood 海鲜,326
Kids Menu,326
Dinner Special,324
Signature Dishes,319
TOFU ENTRÉES,299
FEATURED JET TILA ENTRÉES,299
PAPER PRODUCTS &amp; CONDIMENTS,298
Chef's Specialities,292
Extra's ,290
Beef and Pork,289
Diet Dishes,282
Drink,276
Diet Menu,267
Salad,266
Chefs Specialties,263
Salads &amp; Soups ,262
SMALL SIDES,258
CLASSIC ENTRÉES,257
DESSERTS &amp; BEVERAGES,246
Hot Appetizers,232
Vegetarian Dishes,228
Chicken 鸡肉,222
Fried Rice and Noodles,222
Chicken Entrees,220
Chow Fun,217
RICE &amp; NOODLE ENTRÉES,215
Yakisoba,215
KID'S WEI,214
Beef 牛肉,210
Chef Special,207
Entree,207
Bundles,206
Smoothies,205
Rice Dishes,203
Meat,202
Rice &amp; Noodles,202
Vegetables and Tofu,196
Kids ,195
Special Roll,195
Specialties,193
Tofu,193
Rice Noodle,192
Chow Mein or Chop Suey,192
Salads,190
Chicken and Duck,185
Beef Entrees,184
Chinese,183
Noodles &amp; Rice,179
Dinner Combo,178
Noodle and Rice,177
Chicken ,176
Beef and Lamb,175
Special Rolls,173
Roast Pork,171
Chef's Suggestions,169
Chefs Special,169
Pad Thai,168
Seafood Entrees,165
Sashimi,165
Sauce,164
Milk Tea,161
Non Vegetarian Entrees,161
Sandwiches,161
Appetizers 前菜,159
Pork 猪肉,156
Fried Rice and Lo Mein,153
Chef's Special Deluxe,152
Fried Rice 炒饭,152
Vegetarian Entrees,152
Kid's Menu,151
Rice Noodles,151
Combo Platter,151
Vegan Vegetarian,150
Combo Special,150
Sushi Roll,150
Chef's Recommendations,149
Bao,147
Chicken Dishes,146
Sweet &amp; Sour,145
Special Combination Platters,145
Party Tray,145
Family Dinners,144
Classic Rolls,144
Noodles and Rice,144
Beverages ,143
Appetizers ,142
Lamb,141
Pho,141
Roll and Hand Roll,140
Seafood 海鮮,139
Snacks,138
Chinese Wok,135
Combination Specials,135
Combination Plate,132
Combinations,131
Combination Suggestions,130
Chef's Recommendation,129
Bubble Tea,128
Seafood Dishes,127
Curry,127
Lo Mein (Soft Noodles),125
Seafood ,123
Beef &amp; Lamb,122
Chinese Food,122
Beverage 饮料,121
Soft Drinks,121
Fish,120
All Day Combo,120
Fried Rice and Noodle,120
Chef Specials,120
Chicken and Pork,119
Congee,119
Noodle Soups,119
Vegetable and Tofu,117
Sushi and Sashimi,117
Lo Mein (Soft Noodle),116
Condiments,115
Teriyaki Combo,114
Fried Rice ,114
Combos,114
Entrées,114
Hot Pot,113
All Day Market Essentials,113
Combo,112
Traditional Favorites,111
Family Dinner,108
House Favorites,108
Dim Sum Menu ( Not available after 3:00pm),108
Beef Dishes,108
Soda,107
Rice and Noodle,106
Fried Rice 炒飯,106
Fried Rice or Noodles,105
Soup 汤,105
Pan Fried Noodles,104
Pork Entrees,104
Noodles and Fried Rice,103
Chinese Dishes,103
Vegetable 蔬菜,103
Chinese Platters,102
Specials,102
Soup and Salad,101
Soup &amp; Salad,101
Potstickers,101
Thai Cuisine,100
Beef ,100
Dinner Specials,100
Daily Special,100
Chinese and Thai Entrees 中式及泰式主食,99
Lunch Bowls,98
Vegetable Dishes,98
A la Carte,98
Special,97
Chef’s Special,97
Chicken Wings,96
Chow Mein Fun,96
Side,96
Bento Box,94
Special Diet Menu,94
Special Combination,94
Chef's Suggestion,92
All Day Special,91
Chef’s Specialties,91
Pork and Beef,90
Seafoods,90
Fried Rice &amp; Noodles,89
Side Dishes,89
Seafood 海鲜类,89
Moo Shu Dishes,88
Shrimp Entrees,88
Soup 汤类,88
Special Combination Platter,88
Kids,88
Cold Appetizers,86
Special Dishes,85
Hot Appetizer,85
Vegan Vegetarian Food,85
Pancit,84
Sauces,83
Dinner Combination Platters,82
Appetizer 前菜,81
Sushi Bar Entrees,81
Combination Dinners,81
Steamed,81
Noodle Dishes,80
Healthy Dishes,80
Mai Fun,80
Sea Food,80
Maki Sushi Rolls,80
Fried Rice or Lo Mein,80
Specialty,79
Pork Dishes,79
Regular Dinner,79
Dinner Combos,78
Drinks 饮品,78
Kitchen Appetizers,78
Pork 猪肉类,77
Bento,77
Starters - Non Vegetarian,77
Starters - Vegetarian,77
Nigiri Sushi,76
Tea,76
Health Food Section,76
Chicken 鸡肉类,76
Casserole,75
Chow Mai Fun,75
Nigiri,75
Vegetables ,74
Special Diet Dishes,74
Authentic Chinese Dishes,73
Beverages  ,73
Szechuan Specialties,73
Wok Special,72
Small Plates,72
Beef and Lamb (牛羊类),72
Wings,72
Add-Ons,71
Signature Rolls,71
Ho Fun,68
Poultry 家禽,68
Tempura,67
Combo Platters,67
Menu ,67
Appetizer (头台),66
Kids Meal,66
Chef Specialities,66
Dinner,65
Appetizers 頭檯,65
More from All Day Kitchens Family,65
Kids Mains,65
Beef 牛肉類,64
Chef Suggestions,64
Beverages 饮料,64
Special Plates,64
Soft Noodles,64
Bread,63
Chinese Special,63
Stir Fried,63
Seafood 海鮮類,63
Today's Special Combination Deals,62
Wok Specials,62
Main Dishes,62
Thai Food,62
Party Trays,62
Vegetable ,62
American and Chinese Special,62
Roll,62
Vegetables &amp; Tofu,62
Slush,61
Entree 主菜,61
Miscellaneous,61
Quarter Orders,61
Pork ,60
Pork (猪肉类),60
All Day Favorites,60
Vegetarian Delight,60
Vegetable and Bean Curd,60
Regular Roll or Hand Roll,60
Lunch Menu,60
Soups and Salads,59
Vegetable 蔬菜类,59
Beer,59
Sushi and Sashimi A La Carte,59
Chinese Dinner,59
Chow Mein and Chop Suey,59
Chicken 雞肉類,58
Curries,58
Mu Shu,58
Egg Foo Young 芙蓉蛋,57
Rolls (Makimono),57
Rolls,57
Milk Teas,57
Chinese Entrée,57
Special Sushi Rolls,57
Nigiri Sushi and Sashimi,57
Lunch Combo,57
Kid's Meal,57
Vegetarian Menu,56
Additional Protein and Vegetable,56
Pork 豬肉,56
From the Wok,56
Hibachi,56
Vermicelli,56
Rice Bowl,56
Kinja Special Rolls,56
Roll or Hand Roll,56
Bawarchi Biryanis,56
Lo Mein Noodles,56
Appetizers and Sides,55
More from the All Day Kitchens Family,55
Egg Foo Yung,55
Vegan,55
Hot and Spicy Dishes,55
Lo Mein 捞面,55
Sizzling Platters,55
Seafood (海鲜类),55
Lunch Entrees,54
Health Food Selection,54
Rice Plates,54
Lo Mein (Noodles),54
Chinese Combination Platters,54
Maki Rolls,53
Chicken 雞肉,53
Poultry Dishes,53
Pho Noodle Soup,53
Soup 湯類,53
Chefs Specials,53
Szechuan and Hunan Style,53
Ramen,53
Beverage ,53
Combo 套餐,53
Beef and Lamb 牛羊,53
Home Style Dishes 家常菜,53
Vegetables 素菜,53
Side Items,53
Drinks ,52
Steamed Dumplings &amp; Buns,52
Noodles Soup,52
Vegetables 蔬菜,52
Chef'S Special,52
Beef &amp; Pork,52
Combo Teriyaki,52
Over Rice,52
Stir Fry,52
Chinese Combo,51
點心 Dim Sum,51
Side orders,51
White Meat,51
Cold Dishes 凉菜,51
Chinese Appetizers,51
Dimsum,51
Chicken Entree,51
Chow Mein and Fried Rice,51
Cold Drinks,51
50 States Specialty Rolls,50
Fried Noodles,50
Duck,50
Chinese Chicken,50
Tofu 豆腐,50
Fried Rice &amp; Noodle,50
Popular Dishes,50
Family Style Meals,50
